"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Text Editing","Line Start","Home","Embedded Xtext Editor context"
"Navigate","Next Page","Alt+F7","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","Editing Xtend Source"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","In C/C++ Views"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Text Editing","Next Word","Ctrl+Right","Embedded Xtext Editor context"
"Navigate","Open Declaration","F3","JavaScript View"
"Navigate","Matching Character","Shift+Ctrl+P","Editing in Structured Text Editors"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"Text Editing","Show Tooltip Description","F2","Embedded Xtext Editor context"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Embedded Xtext Editor context"
"Views","Show View (Outline)","Alt+F3","In Windows"
"Views","JavaScript Declaration","Shift+Alt+Q D","JavaScript View"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Navigate","Open Plug-in Artifact","Shift+Ctrl+A","In Windows"
"Source","Format","Shift+Ctrl+F","Editing JavaScript Source"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing JavaScript Source"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Search","References in Workspace","Shift+Ctrl+G","JavaScript View"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"File","Save","Ctrl+S","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Run/Debug","Run Android Application","Shift+Alt+A R","In Windows"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Edit","Word Completion","Alt+/","Embedded Xtext Editor context"
"Spy","Plug-in Selection Spy","Shift+Alt+F1","In Dialogs and Windows"
"Edit","Occurrences in File","Shift+Ctrl+A","Editing in Structured Text Editors"
"Run/Debug","Step Over","F6","Debugging"
"Refactor - JavaScript","Show Refactor Quick Menu","Shift+Alt+T","JavaScript View"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"Uncategorized","Extract Method","Shift+Alt+M","Editing Xtext Source"
"Refactor - JavaScript","Extract Function","Shift+Alt+M","JavaScript View"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Refactor - JavaScript","Change Function Signature","Shift+Alt+C","JavaScript View"
"File","Properties","Alt+Enter","In Windows"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Window","Open Model Element","Shift+Ctrl+F3","In Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
